['LJGZGWLYDULDPC-UHFFFAOYSA-N', 'active', 1.0]
['PFAKYMMWONGVSE-UHFFFAOYSA-N', 'inactive', 1.0]
['UEYPHJWMKNIOPO-UHFFFAOYSA-N', 'inactive', 1.0]
['AFEZWJKIPYCRJX-UHFFFAOYSA-N', 'inactive', 1.0]
['OPPBNXCDOOAKEO-UHFFFAOYSA-N', 'inactive', 1.0]
['DBKWVWJSFJRWTA-UHFFFAOYSA-N', 'inactive', 1.0]
['GJKRRQJIQUSVHY-UHFFFAOYSA-N', 'inactive', 1.0]
['LRTHDKJPOFKZHH-UHFFFAOYSA-N', 'inactive', 1.0]
['RVMIOHVREKEALE-CYBMUJFWSA-N', 'inactive', 1.0]
['AYPDWGUMGWBSOI-CQSZACIVSA-N', 'inactive', 1.0]
['RVMIOHVREKEALE-ZDUSSCGKSA-N', 'inactive', 1.0]
['SUSVMCGTLZCHRH-CQSZACIVSA-N', 'inactive', 1.0]
['CCGPAQVQJVHPGL-ZDUSSCGKSA-N', 'inactive', 1.0]
['RGLGTURZPREZLT-VZUCSPMQSA-N', 'inactive', 1.0]
['SUSVMCGTLZCHRH-AWEZNQCLSA-N', 'inactive', 1.0]
['CCGPAQVQJVHPGL-CYBMUJFWSA-N', 'inactive', 1.0]
['AYPDWGUMGWBSOI-AWEZNQCLSA-N', 'inactive', 1.0]
['AFRXPAJLKSWUBG-UHFFFAOYSA-N', 'inactive', 1.0]
['IYFQRALWYKXQGU-UHFFFAOYSA-N', 'inactive', 1.0]
['ZXNJYEMOJBYQIG-UHFFFAOYSA-N', 'inactive', 1.0]
['HQFRCDXHWHGNIG-UHFFFAOYSA-N', 'inactive', 1.0]
['NGRFKPHUUUCTAT-ZIAGYGMSSA-N', 'inactive', 1.0]
['UEHZXKUDQXYLBU-UHFFFAOYSA-N', 'inactive', 1.0]
['NWVULNXJRRRKMY-UHFFFAOYSA-N', 'inactive', 1.0]
['JGNINMIPUMHQHE-AQHIEDMUSA-N', 'inactive', 1.0]
['UJTDMNARLIOVGT-CYBMUJFWSA-N', 'inactive', 1.0]
['SXWIAVAJTVKZNG-UHFFFAOYSA-N', 'inactive', 1.0]
['DUNQTRHEGUIEHU-DBOLQNLKSA-N', 'inactive', 1.0]
['RYMKTVKTAIKRTD-VAWYXSNFSA-N', 'inactive', 1.0]
['USHLEHWRIXTPMO-UHFFFAOYSA-N', 'inactive', 1.0]
['OBPPQMUVDDMIQI-UHFFFAOYSA-N', 'inactive', 1.0]
['LDOXZKYFYSFOSU-UHFFFAOYSA-N', 'inactive', 1.0]
['LVOXCLRCOXFUTC-QJOMJCCJSA-N', 'inactive', 1.0]
['RWQPGTYWFQOXBW-JWGURIENSA-N', 'inactive', 1.0]
['MSGGYEYOZIEJQW-QJOMJCCJSA-N', 'inactive', 1.0]
['VUCGERVLKHAMPL-AQTBWJFISA-N', 'inactive', 1.0]
['LPWAPZAPVOKFEL-MOHJPFBDSA-N', 'inactive', 1.0]
['WXKUJBAVJQTAOE-UHFFFAOYSA-N', 'inactive', 1.0]
['CIDBNRDAXIBNMK-UHFFFAOYSA-N', 'inactive', 1.0]
['MQJYHVFYOAMBEB-UHFFFAOYSA-N', 'inactive', 1.0]
['DFVLCZQSRVFFIV-UHFFFAOYSA-N', 'inactive', 1.0]
['XAVPAYZUCGISCN-UHFFFAOYSA-N', 'inactive', 1.0]
['RBRCYNOKJULJMW-UHFFFAOYSA-N', 'inactive', 1.0]
['DGSWVHULFJLFQZ-UHFFFAOYSA-N', 'inactive', 1.0]
['IKWUDVNLHHVBGX-UHFFFAOYSA-N', 'inactive', 1.0]
['JKSUBOCXWXIPAH-UHFFFAOYSA-N', 'inactive', 1.0]
['JUFBMSFYUJSIMR-UHFFFAOYSA-N', 'inactive', 1.0]
['QBCHAKWGLHPFKX-UHFFFAOYSA-N', 'inactive', 1.0]
['GUMOMOZDPHQZGQ-ZROIWOOFSA-N', 'inactive', 1.0]
['KTNKTMKIAYWJQG-UHFFFAOYSA-N', 'inactive', 1.0]
['MCXSBOCMWLXTDN-UHFFFAOYSA-N', 'inactive', 1.0]
['OVXXLPSMQSJFOQ-UHFFFAOYSA-N', 'inactive', 1.0]
['VTEBJKIXTOBBCT-UHFFFAOYSA-N', 'inactive', 1.0]
['UJVVZEIDERNUNH-UHFFFAOYSA-N', 'inactive', 1.0]
['UGJRKPCGNBRYNZ-UHFFFAOYSA-N', 'inactive', 1.0]
['ANTGDNVDDIVKOM-UHFFFAOYSA-N', 'inactive', 1.0]
['RHVQWSMLJGXEQH-XBXARRHUSA-N', 'inactive', 1.0]
['PGCJUEKBDNMHCT-VBKFSLOCSA-N', 'inactive', 1.0]
['ZFDZMKNTSVYYHI-PTNGSMBKSA-N', 'inactive', 1.0]
['JYYDTABGCHPRPA-UVTDQMKNSA-N', 'inactive', 1.0]
['CPNFKZPQIAAVCD-RGEXLXHISA-N', 'inactive', 1.0]
['WUYFFAGMFPXJFP-AQTBWJFISA-N', 'inactive', 1.0]
['BDLAFFVFGPMEQP-PTNGSMBKSA-N', 'inactive', 1.0]
['LFTNJFAMRMMXAR-GDNBJRDFSA-N', 'inactive', 1.0]
['YHFNFGDIARBZCQ-UHFFFAOYSA-N', 'inactive', 1.0]
['IGFGOGKMSDOPMO-ZZXKWVIFSA-N', 'inactive', 1.0]
['HBEBFUHARBSUQR-UHFFFAOYSA-N', 'inactive', 1.0]
['ZAXKBBJFFSPEFV-UHFFFAOYSA-N', 'inactive', 1.0]
['AHOUIMHHWJWBNV-UHFFFAOYSA-N', 'inactive', 1.0]
['DSLGUZCGVWLDBV-QPJJXVBHSA-N', 'inactive', 1.0]
['FHJYOQCADPXZHS-ZZXKWVIFSA-N', 'inactive', 1.0]
['NYISQBMJXBCDEP-CMDGGOBGSA-N', 'inactive', 1.0]
['YEJVYZPFKBPIKG-AATRIKPKSA-N', 'inactive', 1.0]
['JBULJGRFCMVTLA-AATRIKPKSA-N', 'inactive', 1.0]
['XBUGBTZCVMDYNI-MDZDMXLPSA-N', 'inactive', 1.0]
['QXZZPHCKEWLNBI-BQYQJAHWSA-N', 'inactive', 1.0]
['YVUDJQPCWZYLTL-CSKARUKUSA-N', 'inactive', 1.0]
['GAKXNKLFSIXQKN-CSKARUKUSA-N', 'inactive', 1.0]
['ZUYBWCDJBOILFC-UHFFFAOYSA-N', 'inactive', 1.0]
['NBZCOXQLKQKXSX-UHFFFAOYSA-N', 'inactive', 1.0]
['CNGROPLMDXUVBB-UHFFFAOYSA-N', 'inactive', 1.0]
['IKNHQEAFTSNSRB-VOTSOKGWSA-N', 'inactive', 1.0]
['LYLKDBBQYSLSHM-VQHVLOKHSA-N', 'inactive', 1.0]
['NVSHPIRDGRDDOB-FNORWQNLSA-N', 'inactive', 1.0]
['SCZGGXAQLKXIRE-UHFFFAOYSA-N', 'inactive', 1.0]
['DXKKNABDERUMNX-UHFFFAOYSA-N', 'inactive', 1.0]
['SDYMUBCTDLOTEF-UHFFFAOYSA-N', 'inactive', 1.0]
['BLKIBBIQKNFUMP-FNORWQNLSA-N', 'inactive', 1.0]
['PUUPCRMBNKAVOV-MDZDMXLPSA-N', 'inactive', 1.0]
['HNZKDZXLYNDPNX-UHFFFAOYSA-N', 'inactive', 1.0]
['AMSUIZRBLJBCCX-XVNBXDOJSA-N', 'inactive', 1.0]
['CCLOLDJDODCDTH-VOTSOKGWSA-N', 'inactive', 1.0]
['CKKXVDUFLGRWTH-DUXPYHPUSA-N', 'inactive', 1.0]
['MFXURWGDBDQWBQ-UHFFFAOYSA-N', 'inactive', 1.0]
['AIGYSQMRSKIHTM-UHFFFAOYSA-N', 'inactive', 1.0]
['TUBBFDZWFNUZLH-PZFYLCKJSA-N', 'inactive', 1.0]
['SZYCAYXFUAOARN-UHFFFAOYSA-N', 'inactive', 1.0]
['DTZIBXHHAULSHW-UHFFFAOYSA-N', 'inactive', 1.0]
['AVHWOBVGGLKKEK-UHFFFAOYSA-N', 'inactive', 1.0]
['GPOIGAJBANTRJD-UHFFFAOYSA-N', 'inactive', 1.0]
['SZBYJUBQBVBLCG-UHFFFAOYSA-N', 'inactive', 1.0]
['YJIKEJDQXIUCCA-GOSISDBHSA-N', 'inactive', 1.0]
['HXKRMSOKTIQJRY-UHFFFAOYSA-N', 'inactive', 1.0]
['OZEWGOLLKITRHK-UHFFFAOYSA-N', 'inactive', 1.0]
['JFGLOXKNWPNMQT-UHFFFAOYSA-N', 'inactive', 1.0]
['XXRZMGDHJCRERR-UHFFFAOYSA-N', 'inactive', 1.0]
['YLJIJDQLIKUFQP-UHFFFAOYSA-N', 'inactive', 1.0]
['UCHSTKTUXITXPD-UHFFFAOYSA-N', 'inactive', 1.0]
['ROSBHDBAPDSJTB-UHFFFAOYSA-N', 'inactive', 1.0]
['FONHTANVJZLRTJ-SOFGYWHQSA-N', 'inactive', 1.0]
['KIUOEKOCQXSQRR-KRWDZBQOSA-N', 'inactive', 1.0]
['PIYOUDVVHRWUDY-ODCIPOBUSA-N', 'inactive', 1.0]
['PVJSPCPUXCXKAZ-ODCIPOBUSA-N', 'inactive', 1.0]
['BTMLDVYWWOXTKS-ODCIPOBUSA-N', 'inactive', 1.0]
['JNVKGZGJCPBBBR-ODCIPOBUSA-N', 'inactive', 1.0]
['KJNSJDSFDDGSRP-YSURURNPSA-N', 'inactive', 1.0]
['GENGETSYCDWJLC-DNTJNYDQSA-N', 'inactive', 1.0]
['HYASNVQCRPROMH-BHGWPJFGSA-N', 'inactive', 1.0]
['SBVWEGLNKYTKIN-KIBLKLHPSA-N', 'inactive', 1.0]
['GQOKPRHVQILNDL-BHGWPJFGSA-N', 'inactive', 1.0]
['CIMMYMRVFQIWKF-NSKAYECMSA-N', 'inactive', 1.0]
['VFPRUPGXGSQXHH-LSFURLLWSA-N', 'inactive', 1.0]
['HJMXHOQXSXWSLK-LSFURLLWSA-N', 'inactive', 1.0]
['TWGZTGSEYNBUIF-NSKAYECMSA-N', 'inactive', 1.0]
['DSYODOCVSQNEAB-KIBLKLHPSA-N', 'inactive', 1.0]
['OEZZKBPAFMEWHF-AUEPDCJTSA-N', 'inactive', 1.0]
['XCSJCJRXURHEPP-UHFFFAOYSA-N', 'inactive', 1.0]
['SSYQFUUWDAOHQR-KIBLKLHPSA-N', 'inactive', 1.0]
['BHWHVIDCMVEXPT-JQAMDZJQSA-N', 'inactive', 1.0]
['IKPTVKWSNLXTGF-KIBLKLHPSA-N', 'inactive', 1.0]
['XPNCYXAYYVJLPM-UHFFFAOYSA-N', 'inactive', 1.0]
['ABEUWSGIUZNWMQ-UHFFFAOYSA-N', 'inactive', 1.0]
['PSASXDQLCWNUNB-KIBLKLHPSA-N', 'inactive', 1.0]
['HGFUESBBNHODPH-KBKYJPHKSA-N', 'inactive', 1.0]
['RYORQYLWKMKTHR-FOKLQQMPSA-N', 'inactive', 1.0]
['VIYUZCQFZJUNGK-UHFFFAOYSA-N', 'inactive', 1.0]
['VKXQKTZCCSLMMF-UHFFFAOYSA-N', 'inactive', 1.0]
['YAGPXZCRMOCRLK-UHFFFAOYSA-N', 'inactive', 1.0]
['JZIOODYWXRIKDF-UHFFFAOYSA-N', 'inactive', 0.6818181818181818]
['VYKOEQIDDPSCMR-UHFFFAOYSA-N', 'inactive', 0.6818181818181818]
['ZUHHTXDBLFPATQ-UHFFFAOYSA-N', 'inactive', 0.6818181818181818]
['JRWAOQZFSPOMJS-UHFFFAOYSA-N', 'inactive', 0.6818181818181818]
['RNCYRKSQPJBHAB-UHFFFAOYSA-N', 'inactive', 0.6818181818181818]
['NJUWZSQZFKFNMI-TTZKSVMKSA-N', 'inactive', 0.6136363636363636]
['CURWHBBABBAWGT-UFFKYAFASA-N', 'inactive', 0.6136363636363636]
['UKKBXHWKVGSVEV-ALOPSCKCSA-N', 'inactive', 0.6136363636363636]
['IMFBYAQQUPZHQL-UHFFFAOYSA-N', 'inactive', 0.6136363636363636]
['ANYDIFAASZFQNB-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['IOMMMLWIABWRKL-PPXNXDGCSA-N', 'inactive', 0.5681818181818182]
['HEROWVQMOQJATR-BJKOFHAPSA-N', 'inactive', 0.5681818181818182]
['YWUWVJIKGDPRGG-HXUWFJFHSA-N', 'inactive', 0.5681818181818182]
['TUOYPHBELCPBEP-MHWRWJLKSA-N', 'inactive', 0.5681818181818182]
['IHOMWAXTZMKLAT-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['QMOMMXJIWOGYPC-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['ZLUYWPBOVFZNTG-JOCHJYFZSA-N', 'inactive', 0.5681818181818182]
['YXQYYLNZEWUXMD-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['UKXVGRNSIJPYFK-LEBWJFOGSA-N', 'inactive', 0.5681818181818182]
['LLHVBBNWHPGSMK-OAQYLSRUSA-N', 'inactive', 0.5681818181818182]
['CUUIZWDRZDSZDF-XYOKQWHBSA-N', 'inactive', 0.5681818181818182]
['IMFKETJITRYFOH-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['WHRFEMBJCGIWOS-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['CVQCRGYFEVUAFL-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['XGUZPQIZIJVNGA-RUZDIDTESA-N', 'inactive', 0.5681818181818182]
['JCZBWKAZYQYRIU-WUTDNEBXSA-N', 'inactive', 0.5681818181818182]
['AWBUREOGISEZHO-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['FYAQLKIYMBLKPU-RIYZIHGNSA-N', 'inactive', 0.5681818181818182]
['ZTBKGGLGDMLJCS-WUTDNEBXSA-N', 'inactive', 0.5681818181818182]
['KIEXMVITNVJBEJ-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['HOGMYEVJFOYANZ-MRXNPFEDSA-N', 'inactive', 0.5681818181818182]
['MWUUNVOAGXGSPR-OAQYLSRUSA-N', 'inactive', 0.5681818181818182]
['WCIYIWDPEBHZME-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['ADZYAMHZRTVCHD-ZAOIQFLMSA-N', 'inactive', 0.5681818181818182]
['IACXGBQFWATELN-SGHRQYOTSA-N', 'inactive', 0.5681818181818182]
['USDBLRVAOQKJGH-WTQRLHSKSA-N', 'inactive', 0.5681818181818182]
['KNUNIZRVOHRYRL-RPBOFIJWSA-N', 'inactive', 0.5681818181818182]
['DJPOWQSJECOBBO-JOCHJYFZSA-N', 'inactive', 0.5681818181818182]
['QIBVMINKMHMDAD-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['GKZIUACFJYRISP-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['OFLKSFJTTRHGBF-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['MTUFXPOTXOPSHV-HHHXNRCGSA-N', 'inactive', 0.5681818181818182]
['SGHHQLYODQIGBE-BQHJZSHBSA-N', 'inactive', 0.5681818181818182]
['HDRKTANXQYEREL-ZQAUEJBPSA-N', 'inactive', 0.5681818181818182]
['CRDFVOTYNXFDQN-FHVRUZERSA-N', 'inactive', 0.5681818181818182]
['BPAGEFGEKNLNMG-SSSWHTQTSA-N', 'inactive', 0.5681818181818182]
['DSULVSKPGRWASO-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['UEZFOSUZIDDJER-XMMPIXPASA-N', 'inactive', 0.5681818181818182]
['USMSYRDXXCLQHO-VJBVUQEFSA-N', 'inactive', 0.5681818181818182]
['WMSYQNNTHDNIEI-LJQANCHMSA-N', 'inactive', 0.5681818181818182]
['MQCDWGMMDAPGKB-FTUXVVSKSA-N', 'inactive', 0.5681818181818182]
['BYXGLOPXVVKRIC-VJBVUQEFSA-N', 'inactive', 0.5681818181818182]
['HEROWVQMOQJATR-DNQXCXABSA-N', 'inactive', 0.5681818181818182]
['QVAIFDVUUPRQOP-FVTJEVFOSA-N', 'inactive', 0.5681818181818182]
['DKAMBEHAQOUWDB-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['PBBSNONCFLLRFE-SNMYMPMCSA-N', 'inactive', 0.5681818181818182]
['RCQBYARZCJDYHW-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['FVHNFXBVALQEPW-WUTDNEBXSA-N', 'inactive', 0.5681818181818182]
['GJBHMDHRKGITMA-RIYZIHGNSA-N', 'inactive', 0.5681818181818182]
['ZUCBRUJRWIBMLX-JWQCQUIFSA-N', 'inactive', 0.5681818181818182]
['ZDCBOKLRJQMVAI-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['CXICEXOWGOQDAE-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['XZXQHLJRMWPJTP-RIYZIHGNSA-N', 'inactive', 0.5681818181818182]
['GXWPARSFAAUDFY-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['OJURJQCEQQSVOQ-FTUXVVSKSA-N', 'inactive', 0.5681818181818182]
['GRZNRRRHXHPCCN-BQHJZSHBSA-N', 'inactive', 0.5681818181818182]
['RKOYEQKCONUVPY-OAQYLSRUSA-N', 'inactive', 0.5681818181818182]
['XHIMNFOJDWPMIP-XYOKQWHBSA-N', 'inactive', 0.5681818181818182]
['SVDMUEPXEKHWQC-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['UKAYGLZNWYLPSH-QGZVFWFLSA-N', 'inactive', 0.5681818181818182]
['DACFGOIDGQNAAI-OQLLNIDSSA-N', 'inactive', 0.5681818181818182]
['DAQJJQWUGLJIJG-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['KAAPLRXUOPJYAU-FTJBHMTQSA-N', 'inactive', 0.5681818181818182]
['DQKSGAAGSNRDFB-FHVRUZERSA-N', 'inactive', 0.5681818181818182]
['JPSOAVPPXNAJMW-RUZDIDTESA-N', 'inactive', 0.5681818181818182]
['OZOIDJVOCAPKCA-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['UTYQQIKJODVMFA-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['RLLMYSAKUNHIQY-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['ZUCBRUJRWIBMLX-LOSJGSFVSA-N', 'inactive', 0.5681818181818182]
['QTXDMJQIQDMXPP-RPBOFIJWSA-N', 'inactive', 0.5681818181818182]
['DIFZQFMEJWRSBD-XMMPIXPASA-N', 'inactive', 0.5681818181818182]
['QTXDMJQIQDMXPP-JWQCQUIFSA-N', 'inactive', 0.5681818181818182]
['BZRXOKPRPWMCRX-GOSISDBHSA-N', 'inactive', 0.5681818181818182]
['HTTRONHMUOYQTM-HSZRJFAPSA-N', 'inactive', 0.5681818181818182]
['OZSIWYCHYSXIQJ-XMMPIXPASA-N', 'inactive', 0.5681818181818182]
['NVSSQTZGQSAGKL-ZTZBWWIOSA-N', 'inactive', 0.5681818181818182]
['CEZGMYMLBLEGSJ-FWTIMZJOSA-N', 'inactive', 0.5681818181818182]
['YQPUHXUUOKRRSL-FCTFBEISSA-N', 'inactive', 0.5681818181818182]
['JBFVKDQUMPUGNX-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['FVHNFXBVALQEPW-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['MHPJPOLMCIELFS-WUTDNEBXSA-N', 'inactive', 0.5681818181818182]
['HIMHGXXCHNKURH-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['JSZQMPWCKLNMSX-GPOLZQFCSA-N', 'inactive', 0.5681818181818182]
['RWFZOCMKERWXEI-XYJBSGBBSA-N', 'inactive', 0.5681818181818182]
['KAAPLRXUOPJYAU-CLJLJLNGSA-N', 'inactive', 0.5681818181818182]
['FPZWUEGIYYDTRG-WUTDNEBXSA-N', 'inactive', 0.5681818181818182]
['PWIYPRPUGZDXNO-GPVYEGESSA-N', 'inactive', 0.5681818181818182]
['MKMLLHCYCWEQHJ-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['VAPKETCXHSBIDS-FGZHOGPDSA-N', 'inactive', 0.5681818181818182]
['IXTGHDWXMXJODY-QWDXWUACSA-N', 'inactive', 0.5681818181818182]
['FNGWXUSKVKNLMN-NBILRRPASA-N', 'inactive', 0.5681818181818182]
['UFACVKOFSXJDSC-AEVNEEFTSA-N', 'inactive', 0.5681818181818182]
['NFXHWQPAWCTQTR-JOCHJYFZSA-N', 'inactive', 0.5681818181818182]
['DKAMBEHAQOUWDB-XYOKQWHBSA-N', 'inactive', 0.5681818181818182]
['ORDHNWHVCPQQRX-XYOKQWHBSA-N', 'inactive', 0.5681818181818182]
['SSPRHDVETPIMAW-YRNVUSSQSA-N', 'inactive', 0.5681818181818182]
['BXJXSACPNOQRDE-RUZDIDTESA-N', 'inactive', 0.5681818181818182]
['BYUZDVSTUSMHRQ-RIYZIHGNSA-N', 'inactive', 0.5681818181818182]
['ZEWPHRODMPGNAD-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['IOMMMLWIABWRKL-OEMHODTASA-N', 'inactive', 0.5681818181818182]
['AAQCNKXELQZHGC-DHXBXMGCSA-N', 'inactive', 0.5681818181818182]
['VWWHXDGCALREQG-MEJUDOHFSA-N', 'inactive', 0.5681818181818182]
['FIEVDKPXHAPDIU-JOCHJYFZSA-N', 'inactive', 0.5681818181818182]
['UQLIJVPLMFPORY-HSRJRILOSA-N', 'inactive', 0.5681818181818182]
['XBOWFZGBAMQXDI-BEBFYNPSSA-N', 'inactive', 0.5681818181818182]
['VPYIGPZDJRFBDM-QMASLXIKSA-N', 'inactive', 0.5681818181818182]
['QGLHPLZXXVMLMK-VMLCMGRWSA-N', 'inactive', 0.5681818181818182]
['RWFZOCMKERWXEI-UKTHLTGXSA-N', 'inactive', 0.5681818181818182]
['RWFZOCMKERWXEI-TZTLJZABSA-N', 'inactive', 0.5681818181818182]
['OXGZRQPSOZDAAD-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['MPWRXIHSVRWQQY-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['MFQPXLMEVXYXBV-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['SARYXZNCCIJXRI-NRFANRHFSA-N', 'inactive', 0.5681818181818182]
['ROICSKVBYUQUKQ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['VTMJQSPPJIJGNW-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['LFJRDQBYPYZMLW-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['XQUZETKLGCMJIF-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['LYKORKBUGRQTBH-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['PYTBGGBGRRJDNT-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['LJOCIHRQARKISZ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['RZBXGNUKPJTWLR-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['VKLUVQDVSIZWJX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['AVCVEZQZXXKVIX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['IXOQQNFDVYLHBZ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['VSEAYGHUZUHDJU-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['JVWRWRBDOKNZOY-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['ZABCFUQGJGBKQD-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['CAPIXEHJDZREBF-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['SQBQRXMAIZTRQB-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['KKWHUFLPQXUGDF-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['HUBRLGWVHNTZMK-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['YOOHWZGXGQGQNV-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['LCHZKINRFQRYBT-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['FECTUIFYIULKKU-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['CIYYUESCCXMSTO-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['OCFIXZXQEQCZBS-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['HBNNFBHEXBWEBL-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['OOJLXAFZRPMGKG-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['CMAHBOISYJYTPU-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['JGSBWOANWLXBMV-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['IXWIKQYUSKIFHI-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['YAVNQWDKEUZNPP-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['YHZDSSQZIMJHOS-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['BCZAFCNYLSLUQI-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['GAHMKNBXVWLWLX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['HOSHHQLOVFNOSS-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['XXUNHWISXGYWAZ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['FCCWEWCBWZGARW-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['FMHRXEDSPDJJTI-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['NBYGAGVGVRHCHX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['UUBZCVWMVWNIPX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['ORLZQZFZYSKNGH-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['MNAANNPEYMXUPW-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['NDGLKWHLLATDDK-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['YKQVZWVZZVEJIQ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['JIHLIFKXZUZHNA-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['MVKUOKAPFPRHEP-DHDCSXOGSA-N', 'inactive', 0.5681818181818182]
['CROLVYQOEOEQGE-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['XLLYZJUEMUNWFK-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['ZTEKSDICRMSRLL-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['QKZMJFVIURBMHM-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['SOKMVXCZHIACGF-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['IYTHNMUOSPPOEZ-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['AOJICWWLLXRKDB-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['HUXNCFUMPUHHBI-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['NUXNJIAYAHBBBV-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['ATKSIZIIRKSCOH-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['HHSKUORHCCCQPF-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['YVFJFIQHVUDBRX-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['GABLGKBRYMKCCK-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['OFKLJRNWCXFWHK-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['CYTIBJXJTNWMMM-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['NEKPYDLDRWRPQD-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
['DWONQUFPPNQJSE-UHFFFAOYSA-N', 'inactive', 0.5681818181818182]
